label	sentence_A_ja	sentence_B_ja	source_sentence_en
1	1971 年 に 独立 し た バングラデシュ の 出現 は 、 バングラデシュ の 共産党 の 歴史 の 中 で 新しい 章 を 開き まし た 。	1971 年 に 独立 し た バングラデシュ が 出現 し た こと で 、 バングラデシュ の 共産党 史上 に 新た な 章 が 開か れ た 。	The emergence of independent Bangladesh in 1971 opened up a new chapter in the history of the Communist Party of Bangladesh .
1	1977 年 に 彼 は ロイヤル・リヴァプール・フィルハーモニー 管弦楽 団 の アシスタント コンダクター と なり まし た 。	1977 年 、 ロイヤル ・ リバプール ・ フィル の 副 指揮 者 に 就任 。	In 1977 he became assistant conductor of the Royal Liverpool Philharmonic .
1	1980 年 に 彼 は 上院 に 選出 さ れ まし た 。	1980 年 に 彼 は 上院 に 選出 さ れ た 。	In 1980 he was elected to the Senate .
0	1980 年代 に は 、 教皇 ヨハネ・パウロ二世 は 二 回 都市 を 訪問 し まし た 。	1980 年代 に は 、 教皇 ヨハネ ・ パウロ 2 世 が この 都市 を 2 度 訪れ た 。	In the 1980s , Pope John Paul II visited the city twice .
1	1985 年 に 彼女 は 第 一 子 を 出産 し まし た 。	1985 年 、 彼女 は 最初 の 子供 を 産ん だ 。	In 1985 she gave birth to their first child .
1	1996 年 チャンピオン の デイモン・ヒル は 、 1999 年 シーズン の 終わり に フォーミュラワン から 引退 し ます 。	1996 年 チャンピオン の デイモン・ヒル は 1999 年 シーズン の 終わり に F 1 から 引退 し た 。	1996 champion Damon Hill retired from Formula One at the end of the 1999 season .
1	2 つ の コード の 間 に は 階層 が あり ませ ん 。	2 つ の コード の 間 に 階層 は あり ませ ん 。	There is no hierarchy between the two codes .
1	2 つ の システム 間 の 唯一 の 違い は 、 支払い の タイミング でし た 。	2 つ の システム の 唯一 の 違い は 、 支払い の タイミング でし た 。	The only difference between the two systems was the timing of the payment .
1	両 群 間 の カウント の 精度 に 有意 差 は なかっ た です 。	2 つ の 群 の 間 で 計数 の 正確 さ に 有意 差 は なかっ た 。	There was no significant difference in accuracy of the counting between the two groups .
1	二 人 は 1959 年 3 月 10 日 に 米国 に 戻り まし た 。	2 人 は 1959 年 3 月 10 日 に 米国 に 戻っ た 。	The two returned to the United States on March 10 , 1959 .
1	2 〜 11 歳 の 間 の 子供 の ため の 2 プログラム 。	2 歳 から 11 歳 まで の お子様 向け の 2 つ の プログラム 。	2 program for children between 2 and 11 years old .
1	2000 年 に 彼 は クリーブランド クリニック で 彼 の ポスト を あきらめ まし た 。	2000 年 に 彼 は クリーブランド クリニック で 彼 の ポスト を あきらめ た 。	In 2000 he gave up his post at the Cleveland Clinic .
1	これ は 、 2001 年 以降 スタジアム で 最初 の コンサート です 。	2001 年 以来 、 スタジアム で 初めて の コンサート です 。	It is the first concert at the stadium since 2001 .
1	2005 年 7 月 の 終わり に 、 フェルディナンド は クラブ で 3 年間 の 契約 延長 に 署名 し まし た 。	2005 年 7 月末 、 フェルディナンド は クラブ と の 3 年間 の 契約 延長 契約 を 結ん だ 。	At the end of July 2005 , Ferdinand signed a three-year contract extension with the club .
1	2005 年 に は シニア アドバイザー として モルガン ・ スタンレー に 入社 し まし た 。	2005 年 に は 、 上級 顧問 として Morgan Stanley に 入社 し まし た 。	In 2005 he joined Morgan Stanley as a senior advisor .
1	2008 年 フォーチュン ・ グローバル 500 に よる と 、 トヨタ は 世界 第 5 位 の 企業 です 。	2008 年 の Fortune Global 500 に よれ ば 、 トヨタ は 世界 で 5 番目 の 企業 です 。	According to the 2008 Fortune Global 500 , Toyota is the fifth largest company in the world .
0	2013 年 に 開く こと が 期待 さ れ て い ます 。	2013 年 に 開設 予定 です 。	It is expected to open in 2013 .
0	2016 年 シーズン に 向け て 準備 が でき て いる と 予想 さ れ ます 。	2016 年 シーズン の 準備 が 整う 予定 です 。	It is expected to be ready for the 2016 season .
0	300 万 人 以上 の アメリカ 人 が 彼ら の 一生 の 間 に パニック 障害 を 経験 し ます 。	3 百 万 人 を 超える アメリカ 人 は 、 生涯 にわたって パニック 障害 を 経験 する 。	Over 3 million Americans experience panic disorder during their lifetime .
1	60 カ国 の 代表 が 会議 に 招待 さ れ まし た 。	60 カ国 から の 代表 者 が 会議 に 招待 さ れ た 。	Representatives from 60 countries were invited to the conference .
1	8 月 6 日 に 彼 は 心臓 発作 で 死亡 し まし た 。	8 月 6 日 、 彼 は 心臓 発作 で 亡くなり まし た 。	On August 6 he died of a heart attack .
1	8 月 は 、 今年 の 最も 暖かい 月 です 。	8 月 は 今年 最も 暖かい 月 です 。	August is the warmest month of the year .
1	ビッグ マック は 世界 的 に 知ら れ て おり 、 多く の 場合 、 アメリカ の 資本 主義 の 象徴 として 用い られ て い ます 。	Big Mac は 世界中 で 知ら れ て おり 、 しばしば アメリカ の 資本 主義 の 象徴 として 使わ れ て い ます 。	The Big Mac is known worldwide and is often used as a symbol of American capitalism .
1	ボア テング は ベルリン で 生まれ まし た 。	Boateng は ベルリン 生まれ 。	Boateng was born in Berlin .
1	キャロリン と ローレン は 、 2 列 目 の シート に 座っ て い まし た 。	Carolyn と Lauren は 座席 の 2 列 目 に 座っ て い た 。	Carolyn and Lauren were sitting in the second row of seats .
1	DAP は 議会 で 最大 野党 として の 地位 を 取り戻し まし た 。	DAP は 、 議会 で 最大 の 野党 として の 地位 を 回復 し た 。	The DAP regained its position as the largest opposition party in parliament .
1	18 の EU 加盟 国 は 、 共通 通貨 として ユーロ を 共有 し て い ます 。	EU 加盟 国 18 カ国 は 共通 通貨 として ユーロ を 共有 し て いる 。	18 EU countries share the euro as a common currency .
1	IT 業界 は 、 インド 最大 の 民間 部門 の 雇用 者 で あり 続け て い ます 。	IT 業界 は 引き続き インド 最大 の 民間 部門 雇用 者 で ある 。	The IT industry continues to be the largest private sector employer in India .
1	ジョン ・ ラセター と アンドリュー ・ スタントン の 両方 が エグゼクティブプロデューサー を 務め まし た 。	John Lasseter と Andrew Stanton は どちら も エグゼクティブプロデューサー として 働い て い まし た 。	John Lasseter and Andrew Stanton both served as executive producers .
0	マイケル ・ ウォルトリップ は レース に 勝ち まし た 。	Michael Waltrip が レース で 優勝 し た 。	Michael Waltrip won the race .
1	Murkowski は 現在 、 上院 エネルギー 天然 資源 委員 会 の 委員 長 です 。	Murkowski は 現在 、 上院 エネルギー ・ 天然 資源 委員 会 委員 長 を 務め て い ます 。	Murkowski is currently the chairman of the Senate Energy and Natural Resources Committee .
0	クイニピアック 大学 によって 行わ れ た 研究 は 、 ニューヨーカー の 大 部分 が イニシアチブ を サポート する こと を 示し まし た 。	Quinnipiac University が 実施 し た 調査 に よる と 、 ニューヨーク 市民 の 過半数 が この イニシアティブ を 支持 し て いる こと が わかり まし た 。	Research conducted by Quinnipiac University showed that a majority of New Yorkers support the initiative .
1	USB ポート は 、 ハードディスク または 他 の 記憶 装置 を 接続 する ため に 使用 する こと が でき ませ ん 。	USB ポート は 、 ハードディスク や その他 の ストレージ デバイス の 接続 に は 使用 でき ませ ん 。	The USB port can not be used to connect a hard disk or other storage device .
0	次に 、 あなた と あなた の 家族 が 死ん で しまい ます 。	あなた と あなた の 家族 は 死ぬ でしょ う 。	Then you and your family will die .
1	同じ ロジック は 、 アフガニスタン で 見る こと が でき ます 。	アフガニスタン で も 同じ 論理 が 見 られる 。	The same logic can be seen in Afghanistan .
1	アメリカ 人 は 、 米国 の 市民 です 。	アメリカ 人 は アメリカ合衆国 の 市民 です 。	Americans are citizens of the United States of America .
1	アリゾナ 州立 大学 は 、 この 地域 の 高等 教育 の 主要 な 機関 です 。	アリゾナ 州立 大学 は 、 この 地域 の 高等 教育 の 主要 機関 です 。	Arizona State University is the main institution of higher education in the region .
0	ある 日 、 それ が 終了 し ます 。	ある 日 それ は 終わる でしょ う 。	One day it will end .
0	同じ 原理 は 、 アルコール 中毒 に 適用 さ れ ます 。	アルコール 中毒 に も 同じ 原則 が 適用 さ れ ます 。	The same principle applies to alcohol intoxication .
1	アルバム は 同年 8 月 に 完成 し まし た 。	アルバム は 同年 8 月 に 完成 し た 。	The album was completed in August of the same year .
1	アルバム は 、 後 に ゲーム の サウンドトラック に 追加 さ れ まし た 。	アルバム は 後で ゲーム の サウンドトラック に 追加 さ れ まし た 。	The album was later added to the soundtrack of the game .
0	アレキサンダー は また 、 ユーモア の センス を 持っ て い まし た 。	アレクサンダー に も ユーモア が あり まし た 。	Alexander also had a sense of humor .
0	アレックス は 殺人 で 有罪 と 懲役 14 年 を 言い渡さ れ て い ます 。	アレックス は 殺人 罪 で 有罪 判決 を 受け 、 14 年 の 懲役 刑 を 宣告 さ れる 。	Alex is convicted of murder and sentenced to 14 years in prison .
1	いくつ か の 合成 ピレスロイド は 、 神経 系 に 有毒 です 。	いくつ か の 合成 ピレスロイド は 、 神経 系 に 有毒 で ある 。	Some synthetic pyrethroids are toxic to the nervous system .
1	イスラエル 人 は 、 午前 8 時 に 市内 に 入り まし た 。	イスラエル 人 は 午前 8 時 に 市 に 入っ た 。	The Israelis entered the city at 8:00 am .
0	これ は 、 バージニア ビーチ で 最高 点 です 。	ヴァージニアビーチ で 最高 の ポイント です 。	It is the highest point in Virginia Beach .
1	ビンス・ルッソ は 、 プロレス の 歴史 の 中 で 最も 物議 を 醸す 人物 の 一 人 です 。	ヴィンス・ルッソ は プロレス 界 で 最も 論争 の 的 に なっ て いる 人物 の ひとり です 。	Vince Russo is one of the most controversial figures in professional wrestling history .
0	ウォルコット は 4 人 兄弟 の 末っ子 でし た 。	ウォルコット は 4 人 の 子供 の うち 最も 若かっ た 。	Walcott was the youngest of four children .
0	彼 は また 、 エグゼクティブプロデューサー を 務め まし た 。	エグゼクティブプロデューサー として も 活躍 。	He also served as an executive producer .
1	エミレーツ は また 、 FA カップ の タイトル ・ スポンサー です 。	エミレーツ は FA カップ の タイトル スポンサー で も あり ます 。	Emirates is also the title sponsor of the FA Cup .
1	エリザベス は 69 歳 で 1603 年 に 死亡 し まし た 。	エリザベス は 1603 年 に 69 歳 で 死亡 し た 。	Elizabeth died in 1603 at the age of 69 .
0	また 、 カカドゥ 国立 公園 で 発見 さ れ て い ます 。	カカドゥ 国立 公園 に も あり ます 。	It is also found in Kakadu National Park .
1	カナダ の アイスホッケー チーム は 1972 年 と 1976 年 の 冬季 オリンピック に 参加 し ませ ん でし た 。	カナダ の アイスホッケー チーム は 1972 年 と 1976 年 の 冬季 オリンピック に 参加 し なかっ た 。	Canada 's ice hockey team did not participate in the 1972 and 1976 Winter Olympics .
0	キリバス は 、 世界 の 最貧 国 の 一つ と 考え られ て い ます 。	キリバス は 、 世界 で 最も 発展 し て い ない 国 の 一つ と 考え られ て い ます 。	Kiribati is considered one of the least developed countries in the world .
1	グリーン は 、 6 人 が 死亡 し た 虐殺 の 最年少 の 犠牲 者 でし た 。	グリーン は 6 人 を 殺し た 虐殺 の 最年少 被害 者 だっ た 。	Green was the youngest victim of the massacre , which killed six people .
1	グルーミング は 、 家族 の 中 で 最も 重要 な 社会 的 相互 作用 の 一つ です 。	グルーミング は 、 家族 の 中 で 最も 重要 な 社会 的 交流 の 1 つ です 。	Grooming is one of the most important social interactions among family members .
1	クレイグ は 、 ジョージ ・ W ・ ブッシュ 大統領 が 提案 し た ゲストワーカープログラム を サポート し て い ます 。	クレイグ 氏 は 、 ジョージ W ブッシュ 大統領 が 提案 し た ゲストワーカープログラム を サポート し て い ます 。	Craig supports the guest worker program proposed by President George W. Bush .
1	ゲーム の Mac OS の バージョン は 、 1999 年 3 月 に ブリザード エンターテイメント によって リリース さ れ まし た 。	ゲーム の Mac OS バージョン は 、 1999 年 3 月 に ブリザード エンターテインメント によって リリース さ れ まし た 。	A Mac OS version of the game was released by Blizzard Entertainment in March 1999 .
1	以下 は その 抜粋 です ：	ここ に 抜粋 が あり ます ：	Here is an excerpt :
0	これら の 2 つ の チーム が 1999 年 に グランド ファイナル で 演奏 し ます 。	この 2 チーム は 1999 年 に グランド ファイナル で プレー し た 。	These two teams played in the Grand Final in 1999 .
1	この アプローチ は 、 量子 カオス の 分野 において 特に 重要 です 。	この アプローチ は 、 量子 カオス の 分野 において 特に 重要 で ある 。	This approach is particularly important in the field of quantum chaos .
1	この 画像 の 修正 版 は 、 1850 年 に アメリカ で 出版 さ れ まし た 。	この イメージ の 修正 版 は 、 1850 年 に 米国 で 出版 さ れ まし た 。	A modified version of this image was published in the United States in 1850 .
1	この スタジアム は 南米 で 三 番目 に 大きい です 。	この スタジアム は 南米 で 3 番目 に 大きな 競技 場 です 。	This stadium is the third largest in South America .
1	この ステージ は 一 ヶ月 か そこら 程度 持続 し ます 。	この ステージ は 約 1 カ月 ほど しか 続き ませ ん 。	This stage lasts only about a month or so .
1	この 規則 は 、 イスラム 教徒 や 他 の 民族 グループ に は 適用 さ れ ませ ん 。	この ルール は 、 イスラム 教徒 や その他 の 民族 グループ に は 適用 さ れ ませ ん 。	This rule does not apply to Muslims or other ethnic groups .
1	この イベント は 発生 し ませ ん でし た 。	この 出来事 は 起こら なかっ た 。	This event did not happen .
0	この 哲学 は 彼 の 文章 で 見る こと が でき ます 。	この 哲学 は 彼 の 執筆 の 中 で 見る こと が でき ます 。	This philosophy can be seen in his writing .
1	この 応答 は種 ごと に 異なり ます 。	この 応答 は種 によって 異なる 。	This response varies from species to species .
1	この 現象 の 最も 顕著 な 例 の 一つ は 、 エルビス ・ プレ スリー の 場合 です 。	この 現象 の 最も 顕著 な 例 の 1 つ は エルビス ・ プレ スリー の 事例 です 。	One of the most prominent examples of this phenomenon is the case of Elvis Presley .
1	この 表 の ランキング は 、 国際 オリンピック 委員 会 が 提供 し た 情報 に 基づい て い ます 。	この 表 の ランキング は 、 国際 オリンピック 委員 会 （ International Olympic Committee ） が 提供 する 情報 に 基づい て い ます 。	The ranking in this table is based on information provided by the International Olympic Committee .
1	市 は また 、 独自 の 製造 ・ 加工 産業 を 持っ て い ます 。	この 都市 に は 独自 の 製造 業 と 加 工業 も あり ます 。	The city also has its own manufacturing and processing industries .
1	この 曲 は 、 同じ 名前 の 踊り を 伴っ て い まし た 。	この 音楽 に は 同じ 名前 の ダンス が 伴い まし た 。	This music was accompanied by a dance of the same name .
1	これ は 、 15 . 2 ％ の EU 平均 より も 低く なっ て い ます 。	これ は 、 EU の 平均 15 . 2 ％ より 低い です 。	This is lower than the EU average of 15.2 % .
1	これ は 、 地域 の 主要 観光 スポット の 一つ です 。	これ は 、 地域 の 主要 な 観光 スポット の 一つ です 。	This is one of the main tourist attractions of the area .
1	これ は 、 硫酸 の 製造 の ため の 触媒 として 使用 さ れ ます 。	これ は 、 硫酸 の 製造 の ため の 触媒 として 使用 さ れる 。	It is used as a catalyst for the production of sulfuric acid .
0	これ は 時々 ポジティブ ・ アクション として 記述 さ れ て い ます 。 	これ は 「 陽性 行動 」 と 呼ば れる こと が あり ます 。 	This is sometimes described as positive action . 
1	これ は 、 2007 年 6 月 以来 の 最初 の 直接 の 会議 でし た 。	これ は 2007 年 6 月 以来 初めて の 直接 会合 でし た 。	This was the first direct meeting since June 2007 .
0	これ は 、 3 つ の コロニー の 二 番目 に あり まし た 。	これ は 3 つ の コロニー の うち の 2 番目 の もの でし た 。	This was the second of the three colonies .
0	これ は また 、 EU の 予算 に も 適用 さ れ ます 。	これ は EU の 予算 に も 当てはまり ます 。	This also applies to the EU budget .
1	これ は 、 アラスカ で 最初 の 主要 な 石油 発見 でし た 。	これ は アラスカ で 初めて の 主要 な 石油 発見 でし た 。	This was the first major oil discovery in Alaska .
1	これ は 、 同社 の 財政難 に 起因 する 可能 性 が あり ます 。	これ は 会社 の 財政 的 困難 の ため かも しれ ませ ん 。	This may be due to the company 's financial difficulties .
1	これ は 、 17 . 8 ％ の 州 平均 より も 低く なっ て い ます 。	これ は 州 平均 の 17 . 8 ％ より も 低い です 。	This is lower than the state average of 17.8 % .
1	これ は 、 比較的 まれ な 出来事 です 。	これ は 比較的 まれ な こと です 。	This is a relatively rare occurrence .
1	これ は イギリス の 学校 の リスト です 。	これ は 英国 の 学校 一覧 です 。	This is a list of schools in England .
1	これ は 非常 に 高速 な ダンス です 。	これ は 非常 に 速い ダンス です 。	This is a very fast dance .
1	これ は 、 創始 者 効果 と 呼ば れ て い ます 。	これ を ファウンダー 効果 と いい ます 。	This is called the founder effect .
1	これら 2 つ の 製品 間 の 差異 は 、 製造 工程 です 。	これら 2 つ の 製品 の 違い は 、 製造 プロセス に あり ます 。	The difference between these two products is in the manufacturing process .
1	これら の 信念 の いくつ か は 、 現実 に 根ざし て い ます 。	これら の 信念 の 一部 は 、 現実 に 根ざし て い ます 。	Some of these beliefs are rooted in reality .
1	これら の レポート は 、 まだ 確認 さ れ て い ませ ん 。	これら の 報告 は まだ 確認 さ れ て い ませ ん 。	These reports have not been confirmed yet .
1	これら の 建物 の 多く は 、 カラマズー の 街 を 見下ろす 丘 の 上 に 位置 し て い ます 。	これら の 建物 の 多く は カラマズー の 街 を 見下ろす 丘 の 上 に あり ます 。	Many of these buildings are located on a hill overlooking the city of Kalamazoo .
1	これら の 制限 の 目的 は 、 放出 さ れる 水銀 廃棄 物 の 量 を 減少 さ せる こと により 、 環境 と 公衆 衛生 を 保護 する こと です 。	これら の 規制 の 目的 は 、 放出 さ れる 水銀 廃棄 物 の 量 を 減らす こと によって 環境 および 公衆 衛生 を 保護 する こと です 。	The purpose of these restrictions is to protect the environment and public health by decreasing the amount of mercury waste released .
1	これら は 、 コミュニティ の 多く の メンバー から 批判 さ れ まし た 。	これら は コミュニティ の 多く の メンバー によって 批判 さ れ まし た 。	These were criticized by many members of the community .
0	これら は 、 中米 と カリブ海 地域 です 。	これら は 中米 と カリブ海 諸国 です 。	These are Central America and the Caribbean .
1	それら は 、 典型 的 に は 、 サーバ や ネットワーク アプリケーション に 使用 さ れ て い ます 。	これら は 通常 、 サーバー および ネットワーキングアプリケーション で 使用 さ れ ます 。	They are typically used in server and networking applications .
1	コンテスト で 使用 さ れる 投票 システム は 、 長年 にわたって 変更 さ れ まし た 。	コンテスト で 使用 さ れる 投票 システム は 、 長年 にわたって 変化 し て き まし た 。	The voting system used in the contest has changed over the years .
1	対照 群 も あり まし た 。	コントロール グループ も あっ た 。	There was also a control group .
0	コンピュータ ・ グラフィックス は 、 次 の 分野 で 使用 さ れる こと が あり ます 。	コンピュータグラフィックス は 、 次 の 領域 で 使用 でき ます 。	Computer graphics may be used in the following areas :
1	サッカー と 野球 は 伝統 的 に 韓国 で 最も 人気 の ある スポーツ で ある と 見なさ れ て き まし た 。	サッカー と 野球 は 伝統 的 に 韓国 で 最も 人気 の ある スポーツ と みなさ れ て き まし た 。	Football and baseball have traditionally been regarded as the most popular sports in Korea .
1	また 、 サッカー や その他 の スポーツ の ため に 使用 さ れ ます 。	サッカー など の スポーツ に も 使用 さ れ て い ます 。	It is also used for football and other sports .
0	これ は 、 一般 的 な 薬 として 利用 可能 です 。	ジェネリック 医薬品 として 入手 でき ます 。	It is available as a generic medication .
0	しかし 、 あなた が 知っ て いる こと は あり ませ ん 。	しかし 、 あなた は 決して 知ら ない 。	But you never know .
1	しか し 、 何 か が 常に あり まし た 。	しかし 、 いつも 何 か が あっ た 。	But there was always something .
1	しかし 、 これら 二つ の グループ の 間 の 臨床 的 差異 が 存在 し ます 。	しかし 、 これら の 2 つ の グループ の 間 に は 臨床 的 な 違い が あり ます 。	However , there is a clinical difference between these two groups .
1	ショー は また 、 数々 の 賞 および ノミネート を 受け まし た 。	ショー は また 数々 の 賞 と ノミネート を 受け まし た 。	The show also received numerous awards and nominations .
1	ジョージタウン大学 は ジョージタウン の 繁華 街 に 位置 する プライベートリベラルアーツカレッジ です 。	ジョージタウン カレッジ は 、 ジョージタウン の ダウン タウン 地区 に ある 私立 リベラルアーツカレッジ です 。	Georgetown College is a private liberal arts college located in the downtown area of Georgetown .
1	シリーズ の 最初 の シーズン は 、 2002 年 3 月 に DVD で リリース さ れ まし た 。	シリーズ の 第 1 シーズン は 2002 年 3 月 に DVD で リリース さ れ まし た 。	The first season of the series was released on DVD in March 2002 .
1	シリーズ は 、 1 シーズン 続き まし た 。	シリーズ は 1 シーズン 続い た 。	The series lasted one season .
1	すぐ に 彼 は 彼 自身 の 映画 を 作っ て い まし た 。	すぐ に 彼 は 自分 の 映画 を 作っ て い た 。	Soon he was making his own movies .
1	スタジアム は 2012 年 世界 ジュニア アイスホッケー 選手権 大会 の 会場 の 一つ でし た 。	スタジアム は 2012 年 世界 ジュニア ・ アイスホッケー 選手権 の 開催 地 の 1 つ でし た 。	The stadium was one of the venues for the 2012 World Junior Ice Hockey Championships .
1	ストックトン は 、 ティーズ 川 の 北岸 に 位置 し て い ます 。	ストックトン は ティーズ 川 の 北岸 に あり ます 。	Stockton is located on the north bank of the River Tees .
1	すべて の テレビ チャンネル は 、 市内 で ご 利用 いただけ ます 。	すべて の テレビ チャンネル は 市内 で 利用 可能 です 。	All TV channels are available in the city .
1	セグメント は 、 2 ヶ月 前倒し で 完了 し まし た 。	セグメント は 予定 より 2 ヵ月 早く 完了 し まし た 。	The segment was completed two months ahead of schedule .
1	式典 の 正確 な 日付 は 不明 です 。	セレモニー の 正確 な 日付 は 不明 です 。	The exact date of the ceremony is unknown .
1	ソーヤー は 、 民主党 の メンバー でし た 。	ソーヤー は 民主党 の メンバー だっ た 。	Sawyer was a member of the Democratic Party .
0	それら の 中 に 残さ れ た 生命 力 は あり ませ ん 。 	そこ に は 活力 は 残っ て い ませ ん 。 	There is no vitality left in them . 
1	そして 、 私 は 彼ら と その 家族 に 謝罪 し たい です 。	そして 、 私 は 彼ら と その 家族 に 謝罪 し たい 。	And I want to apologize to them and their families .
0	それら の 一つ は 、 以下 に 記載 さ れ て い ます 。	その うち の 1 つ を 以下 に 説明 する 。	One of them is described below .
0	その うち の 一つ は 、 殺さ れ まし た 。	その うち の 1 人 が 殺さ れ た 。	One of them was killed .
1	それら の いくつ か は 、 世界 最古 の 一つ です 。	その 中 に は 世界 で 最も 古い もの も あり ます 。	Some of them are among the oldest in the world .
0	その リーダー と メンバー の 多く は 、 この 期間 中 に 起訴 、 さらに は 殺さ れる で あろ う 。	その 指導 者 と メンバー の 多く は 、 この間 に 起訴 さ れ 、 殺さ れる こと さえ あり まし た 。	Many of its leaders and members would be prosecuted and even killed during this time .
1	他 の 要因 も 考慮 さ れ ます 。	その他 の 要因 も 考慮 さ れ ます 。	Other factors are also taken into account .
0	これ は 、 ニューデリー の 領域 を 含み ます 。	それ に は ニューデリー の 地域 も 含ま れ ます 。	It includes the area of New Delhi .
1	それ は 礼拝 の 場所 を 持っ て い ます 。	それ に は 礼拝 の 場 が あり ます 。	It has a place of worship .
0	これ は 、 国内 で 初めて の プライベート 美術館 です 。	それ は 、 国 の 最初 の 私立 博物館 です 。	It is the first private museum in the country .
1	これ は 、 西  と の 提携 に 向け た 最初 の 一 歩 でし た 。	それ は 「 西 」 と の 同盟 へ の 第一歩 だっ た 。	It was the first step towards an alliance with the West  .
1	これ は 、 100 グラム 当たり タンパク質 18 グラム が 含ま れ て い ます 。	それ は 100 グラム あたり 18 グラム の タンパク質 を 含む 。	It contains 18 grams of protein per 100 grams .
1	これ は 、 1940 年 と 1943 年 の 間 に 書か れ まし た 。	それ は 1940 年 から 1943 年 の 間 に 書か れ まし た 。	It was written between 1940 and 1943 .
1	これ は 、 1969 年 に ケルン 大学 が 購入 し まし た 。	それ は 1969 年 に ケルン 大学 によって 購入 さ れ た 。	It was purchased by the University of Cologne in 1969 .
1	これ は 、 1975 年 以来 閉鎖 さ れ て い ます 。	それ は 1975 年 以来 閉鎖 さ れ て いる 。	It has been closed since 1975 .
0	それ が 完成 し 、 1985 年 に オープン し まし た 。	それ は 1985 年 に 完成 し 開か れ まし た 。	It was completed and opened in 1985 .
1	これ は 、 2 週間 チャート 上 に とどまり まし た 。	それ は 2 週間 チャート に とどまっ た 。	It stayed on the chart for two weeks .
1	これ は 、 4 週 連続 で チャート 上 に 残り まし た 。	それ は 4 週間 連続 し て チャート に 残り まし た 。	It remained on the chart for four consecutive weeks .
1	これ は 、 5 週間 チャート 上 に とどまり まし た 。	それ は 5 週間 チャート に とどまっ た 。	It stayed on the chart for five weeks .
0	これ は 、 6 週間 の トップ 10 に 残り まし た 。	それ は 6 週間 にわたって トップ 10 に とどまっ た 。	It remained in the top ten for six weeks .
1	これ は 、 60 トン の 運搬 能力 を 持っ て い ます 。	それ は 60 トン の 運搬 能力 を 有する 。	It has a carrying capacity of 60 tons .
0	これ は 、 唯一 の ゴルバチョフ 改革 の 結果 として 、 1989 年 に 出版 さ れ まし た 。	それ は ゴルバチョフ の 改革 の 結果 として 1989 年 に のみ 出版 さ れ た 。	It was only published in 1989 as a result of the Gorbachev reforms .
1	それ は ショー の オープニング 曲 でし た 。	それ は ショー の オープニング 曲 だっ た 。	It was the opening song of the show .
1	それ は すべて に 開い て いる 必要 が あり ます 。	それ は すべて に 開か れ て い なけれ ば なり ませ ん 。	It must be open to all .
0	これ は 、 一般 的 に ヒンドゥー 教 と 仏教 の 宗教 の シンボル として 使用 さ れ 続け て い ます 。	それ は ヒンズー教 と 仏教 における 宗教 的 シンボル として 一般 的 に 使用 さ れ 続ける 。	It continues to be commonly used as a religious symbol in Hinduism and Buddhism .
0	その よう な こと は あり ませ ん 。	それ は もはや 事実 で は ない 。	That is no longer the case .
1	マウントレーニア の 上空 を 飛行 し た 最初 の 飛行機 でし た 。	それ は レーニア 山 を 飛行 する 最初 の 飛行機 でし た 。	It was the first plane to fly over Mount Rainier .
